fecha sp500 ftse100 nikkei225 cac40 dax100 usd.bp usd.yen usd.eur
22-Sep-97 955.43 5075.7 18201.32 3017.45 568.63 1.604 0.0082 1.1203
23-Sep-97 951.93 5027.5 18201.32 2997.23 569.32 1.614 0.0082 1.1184
24-Sep-97 944.48 5077.2 18420.08 3023.77 569.99 1.6138 0.0083 1.1316
25-Sep-97 937.91 5065.5 18341.96 3005.38 575.55 1.6285 0.0083 1.1383
26-Sep-97 945.22 5226.3 17994.71 2985.63 567.1 1.608 0.0083 1.1395
29-Sep-97 953.34 5220.3 17987.21 2988.96 569.45 1.61 0.0083 1.1371
30-Sep-97 947.28 5244.2 17887.71 3008.26 577.23 1.6185 0.0083 1.138
01-Oct-97 955.41 5317.1 17842.16 3054.93 582.03 1.6154 0.0083 1.1277
02-Oct-97 960.46 5296.1 17455.04 3052.07 591.05 1.6159 0.0082 1.1293
03-Oct-97 965.03 5330.8 17647.45 3094.01 591.05 1.616 0.0082 1.1401
06-Oct-97 972.69 5300 17824.78 3077.98 594.74 1.616 0.0082 1.1391
07-Oct-97 983.12 5305.6 17511.19 3064.42 594.9 1.6225 0.0082 1.139
08-Oct-97 973.84 5262.1 17619.18 3024.08 598.33 1.622 0.0083 1.1458
09-Oct-97 970.62 5217.8 17376.92 2960.65 586.02 1.6244 0.0083 1.1468
10-Oct-97 966.98 5227.3 17376.92 2955.11 579.18 1.6215 0.0083 1.1439
13-Oct-97 968.1 5300.1 17204.7 3000.98 585.38 1.6243 0.0083 1.1436
14-Oct-97 970.28 5298.9 17306.39 3005.54 582.12 1.622 0.0082 1.1436
15-Oct-97 965.72 5263.7 17331.37 2992.16 581.48 1.6233 0.0083 1.1473
16-Oct-97 955.23 5287.9 17707.49 2992.87 571.37 1.618 0.0084 1.1481
17-Oct-97 944.16 5271.1 17478.42 2958.02 563.68 1.6181 0.0083 1.1319
20-Oct-97 955.61 5211 17294.51 2946.71 561.88 1.6334 0.0082 1.1318
21-Oct-97 972.28 5225.9 17210.09 2989.89 574.29 1.6354 0.0083 1.1212
22-Oct-97 968.49 5148.8 17687.61 2958.06 577.32 1.6318 0.0083 1.1242
23-Oct-97 950.69 4991.5 17151.55 2856.87 552.56 1.6327 0.0082 1.1351
24-Oct-97 941.64 4970.2 17363.74 2849.03 561.64 1.634 0.0082 1.1293
27-Oct-97 876.99 4840.7 17038.36 2769.64 540.02 1.663 0.0082 1.1455
28-Oct-97 921.85 4755.4 16312.69 2651.33 498.46 1.6675 0.0083 1.1499
29-Oct-97 919.16 4871.8 16857.04 2818 528.15 1.672 0.0083 1.1567
30-Oct-97 903.68 4801.9 16364.94 2739.47 519.82 1.6705 0.0083 1.1658
31-Oct-97 914.62 4842.3 16458.94 2739.3 519.87 1.6743 0.0083 1.1606
03-Nov-97 938.99 4906.4 16458.94 2787.96 536.09 1.6757 0.0082 1.1541
04-Nov-97 940.76 4897.4 16500.1 2774.9 530.7 1.6847 0.0082 1.1639
05-Nov-97 942.76 4908.3 16448.05 2822.42 537.43 1.6815 0.0081 1.1666
06-Nov-97 938.03 4863.8 16533.87 2781.82 531.77 1.6905 0.0081 1.1636
07-Nov-97 927.51 4764.3 15836.36 2699.71 517.21 1.69 0.008 1.1735
10-Nov-97 921.13 4806.8 15697.2 2699.71 523.04 1.6975 0.008 1.1762
11-Nov-97 923.78 4793.7 15867.23 2699.71 520.14 1.7046 0.008 1.1722
12-Nov-97 905.96 4720.4 15434.17 2696.6 510.71 1.7045 0.0079 1.1663
13-Nov-97 916.66 4711 15427.27 2700.66 516.48 1.698 0.008 1.162
14-Nov-97 928.35 4741.8 15082.52 2696.04 519.58 1.6922 0.008 1.1585
17-Nov-97 946.2 4867 16283.32 2772.99 527.5 1.6947 0.008 1.1583
18-Nov-97 938.23 4845.4 16726.57 2782.61 533.12 1.691 0.0079 1.1589
19-Nov-97 944.59 4830.1 15842.46 2790.56 532.76 1.691 0.0079 1.1568
20-Nov-97 958.98 4908.4 16308.49 2821.19 542.36 1.6882 0.0079 1.1519
21-Nov-97 963.09 4985.8 16721.58 2861.7 546.89 1.6933 0.0079 1.1527
24-Nov-97 946.67 4898.6 16721.58 2802.48 530.42 1.691 0.0079 1.1529
25-Nov-97 950.82 4863.5 15867.53 2786.26 533.08 1.6777 0.0079 1.1459
26-Nov-97 951.64 4891.2 16045.55 2811.65 541.52 1.6736 0.0079 1.1378
27-Nov-97 951.64 4889 16603.2 2829.01 546.33 1.6736 0.0079 1.1356
28-Nov-97 955.4 4831.8 16636.26 2859.19 546.28 1.6877 0.0078 1.136
01-Dic-97 974.78 4921.8 17007.59 2918.48 560.92 1.6855 0.0078 1.1276
02-Dic-97 971.68 4977.6 16910.29 2913.09 560.82 1.681 0.0078 1.1278
03-Dic-97 976.77 4970.7 16585.51 2902.35 561.93 1.684 0.0078 1.1311
04-Dic-97 973.1 5082.3 16306.79 2914.45 568.85 1.6665 0.0077 1.1316
05-Dic-97 983.79 5142.9 16424.48 2910.09 572.29 1.659 0.0077 1.1244
08-Dic-97 982.37 5187.4 16131.57 2932.47 577.5 1.6477 0.0077 1.1212
09-Dic-97 975.78 5177.1 16686.51 2959.4 572.71 1.652 0.0077 1.1204
10-Dic-97 969.79 5130.7 16478.12 2932.18 564.56 1.6504 0.0077 1.1212
11-Dic-97 954.94 5035.9 16050.15 2828.45 554.17 1.6573 0.0077 1.1386
12-Dic-97 953.39 5045.2 15904.3 2830.26 559.19 1.651 0.0077 1.1281
15-Dic-97 963.39 5121.8 15909.39 2838.27 556.03 1.6335 0.0076 1.1279
16-Dic-97 968.04 5203.4 15985.21 2912.18 559.07 1.6355 0.0076 1.1247
17-Dic-97 965.54 5190.8 16541.06 2893.25 567.11 1.6512 0.0079 1.1283
18-Dic-97 955.3 5168.3 16161.64 2894.5 567.04 1.6663 0.0078 1.1282
19-Dic-97 946.78 5020.2 15314.89 2822.9 555.85 1.67 0.0077 1.1274
22-Dic-97 953.7 5018.2 14799.4 2869.73 551.48 1.6635 0.0077 1.1248
23-Dic-97 939.13 5049.8 14799.4 2858.13 561.09 1.668 0.0077 1.1293
24-Dic-97 932.7 5013.9 14924.98 2874.08 561.09 1.669 0.0077 1.1297
25-Dic-97 932.7 5013.9 15300.1 2874.08 561.09 1.669 0.0077 1.129
26-Dic-97 936.46 5013.9 14802.6 2871.27 561.09 1.6788 0.0077 1.1292
29-Dic-97 953.35 5112.4 14775.22 2939.46 570 1.6718 0.0077 1.1191
30-Dic-97 970.84 5132.3 15258.74 2975.47 576.87 1.656 0.0077 1.1202
31-Dic-97 970.43 5135.5 15258.74 2998.91 576.87 1.6508 0.0077 1.1154
01-Ene-98 970.43 5135.5 15258.74 2998.91 576.87 1.6508 0.0077 1.1146
02-Ene-98 975.04 5193.5 15258.74 3040.14 585.63 1.6407 0.0076 1.11
05-Ene-98 977.07 5262.5 14956.84 3072.84 593.65 1.63 0.0075 1.0973
06-Ene-98 966.58 5264.4 14896.4 3037.73 589.54 1.6245 0.0075 1.0905
07-Ene-98 964 5224.1 15028.17 3006.73 592.97 1.6256 0.0076 1.0963
08-Ene-98 956.05 5237.1 15019.18 2954.94 588.42 1.6125 0.0075 1.0985
09-Ene-98 927.69 5138.3 14995.1 2919.81 575 1.613 0.0076 1.0981
12-Ene-98 939.21 5068.8 14664.44 2862.54 555.56 1.6215 0.0075 1.0986
13-Ene-98 952.12 5083.9 14755.94 2902.93 563.82 1.635 0.0076 1.0988
14-Ene-98 957.94 5106.9 15121.98 2919.8 568.29 1.6295 0.0076 1.0984
15-Ene-98 950.73 5165.8 15121.98 2932.75 563.89 1.6295 0.0077 1.0928
16-Ene-98 961.51 5263.1 16046.45 2976.09 568.42 1.6342 0.0077 1.0912
19-Ene-98 961.51 5273.6 16262.04 2986.95 580.35 1.6365 0.0078 1.09
20-Ene-98 978.6 5278.2 16366.53 3008.34 582.15 1.627 0.0078 1.0888
21-Ene-98 970.81 5272.3 16684.42 2998.11 578.71 1.6312 0.0079 1.101
22-Ene-98 963.04 5253.1 16405.69 2988.59 571.76 1.648 0.0079 1.1092
23-Ene-98 957.59 5181.4 16789.11 2966.15 573.82 1.673 0.008 1.1248
26-Ene-98 956.95 5237.2 17073.33 3000.47 572.92 1.656 0.0079 1.1148
27-Ene-98 969.02 5326.3 16981.62 3052.02 579.66 1.6443 0.008 1.1195
28-Ene-98 977.46 5372.6 16973.83 3088.26 592.84 1.6425 0.008 1.1031
29-Ene-98 985.49 5422.4 17014.59 3133.82 596.41 1.639 0.008 1.0935
30-Ene-98 980.28 5458.5 16628.47 3172.14 599.31 1.6335 0.0079 1.0924
02-Feb-98 1001.27 16776.82  609.47    
03-Feb-98 1006 17022.98  611.74    
04-Feb-98 1006.9 16882.62  607.44    
05-Feb-98 1003.54 17003.3  614.85    
06-Feb-98 1012.46 17040.06  608.68    
09-Feb-98 1010.74 17205  616.5    
10-Feb-98 1019.01 17205.09  610.89    
11-Feb-98 1020.01 17205.09  618.14    
12-Feb-98 1024.14 17174.93  613.22    
13-Feb-98 1020.09 16791.01  609.16    
16-Feb-98 1020.09 16775.52  612.25    
17-Feb-98 1022.76 16790.71  623.09    
18-Feb-98 1032.08 16613.89  626.11    
19-Feb-98 1028.28 16616.48  621.9    
20-Feb-98 1034.21 16756.24  625.57    
23-Feb-98 1038.14 16609.49  632.97    
24-Feb-98 1030.56 16198  624.45    
25-Feb-98 1042.9 16360.64  629.16    
26-Feb-98 1048.67 16501.7  635.02    
27-Feb-98 1049.34 16831.67  638.03    
02-Mar-98 1047.7 17264.34  640.49    
03-Mar-98 1052.02 17168.33  642.27    
04-Mar-98 1047.33 17095.6  637.03    
05-Mar-98 1035.05 16848.55  627.17    
06-Mar-98 1055.69 17131.97  639.33    
09-Mar-98 1052.31 16972.53  646.32    
10-Mar-98 1064.25 16982.82  654.39    
11-Mar-98 1068.47 16756.14  653.22    
12-Mar-98 1069.92 16575.22  654.72    
13-Mar-98 1068.61 17060.14  664.22    
16-Mar-98 1079.27 16861.14  664.51    
17-Mar-98 1080.45 16997.2  672.87    
18-Mar-98 1085.52 16619.68  669.7    
19-Mar-98 1089.74 16679.02  672.58    
20-Mar-98 1099.16 16830.47  678.91    
23-Mar-98 1095.55 16868.83  674.83    
24-Mar-98 1105.65 16606.39  683.04    
25-Mar-98 1101.93 16658.34  691.85    
26-Mar-98 1100.8 16980.62  684.54    
27-Mar-98 1095.44 16739.26  689.46    
30-Mar-98 1093.55 16263.04  681.12    
31-Mar-98 1101.75 16527.17  692.46    
01-Abr-98 1108.15 16241.66  699.09    
02-Abr-98 1120.01 15702.9  702.02    
